match_id,season,date,venue,city,toss_winner,toss_decision,winner,winner_runs,team1,team2,player_of_match,winner_wickets,outcome,eliminator,method
1082591,2017,2017/04/05,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Royal Challengers Bengaluru,field,Sunrisers Hyderabad,35,Sunrisers Hyderabad,Royal Challengers Bengaluru,Yuvraj Singh,,,,
1082592,2017,2017/04/06,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,field,Rising Pune Supergiant,,Rising Pune Supergiant,Mumbai Indians,SPD Smith,7,,,
1082593,2017,2017/04/07,Saurashtra Cricket Association Stadium,Rajkot,Kolkata Knight Riders,field,Kolkata Knight Riders,,Gujarat Lions,Kolkata Knight Riders,CA Lynn,10,,,
1082594,2017,2017/04/08,Holkar Cricket Stadium,Indore,Punjab Kings,field,Punjab Kings,,Punjab Kings,Rising Pune Supergiant,GJ Maxwell,6,,,
1082595,2017,2017/04/08,M.Chinnaswamy Stadium,Bengaluru,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,15,Royal Challengers Bengaluru,Delhi Capitals,KM Jadhav,,,,
1082596,2017,2017/04/09,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,,Sunrisers Hyderabad,Gujarat Lions,Rashid Khan,9,,,
1082597,2017,2017/04/09,Wankhede Stadium,Mumbai,Mumbai Indians,field,Mumbai Indians,,Mumbai Indians,Kolkata Knight Riders,N Rana,4,,,
1082598,2017,2017/04/10,Holkar Cricket Stadium,Indore,Royal Challengers Bengaluru,bat,Punjab Kings,,Punjab Kings,Royal Challengers Bengaluru,AR Patel,8,,,
1082599,2017,2017/04/11,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,field,Delhi Capitals,97,Rising Pune Supergiant,Delhi Capitals,SV Samson,,,,
1082600,2017,2017/04/12,Wankhede Stadium,Mumbai,Mumbai Indians,field,Mumbai Indians,,Mumbai Indians,Sunrisers Hyderabad,JJ Bumrah,4,,,
1082601,2017,2017/04/13,Eden Gardens,Kolkata,Kolkata Knight Riders,field,Kolkata Knight Riders,,Kolkata Knight Riders,Punjab Kings,SP Narine,8,,,
1082602,2017,2017/04/14,M Chinnaswamy Stadium,Bangalore,Mumbai Indians,field,Mumbai Indians,,Royal Challengers Bengaluru,Mumbai Indians,KA Pollard,4,,,
1082603,2017,2017/04/14,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,field,Gujarat Lions,,Gujarat Lions,Rising Pune Supergiant,AJ Tye,7,,,
1082604,2017,2017/04/15,Eden Gardens,Kolkata,Sunrisers Hyderabad,field,Kolkata Knight Riders,17,Kolkata Knight Riders,Sunrisers Hyderabad,RV Uthappa,,,,
1082605,2017,2017/04/15,Feroz Shah Kotla,Delhi,Delhi Capitals,bat,Delhi Capitals,51,Delhi Capitals,Punjab Kings,CJ Anderson,,,,
1082606,2017,2017/04/16,Wankhede Stadium,Mumbai,Mumbai Indians,field,Mumbai Indians,,Mumbai Indians,Gujarat Lions,N Rana,6,,,
1082607,2017,2017/04/16,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru,field,Rising Pune Supergiant,27,Royal Challengers Bengaluru,Rising Pune Supergiant,BA Stokes,,,,
1082608,2017,2017/04/17,Feroz Shah Kotla,Delhi,Delhi Capitals,bat,Kolkata Knight Riders,,Delhi Capitals,Kolkata Knight Riders,NM Coulter-Nile,4,,,
1082609,2017,2017/04/17,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Punjab Kings,field,Sunrisers Hyderabad,5,Sunrisers Hyderabad,Punjab Kings,B Kumar,,,,
1082610,2017,2017/04/18,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,field,Royal Challengers Bengaluru,21,Gujarat Lions,Royal Challengers Bengaluru,CH Gayle,,,,
1082611,2017,2017/04/19,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,15,Sunrisers Hyderabad,Delhi Capitals,KS Williamson,,,,
1082612,2017,2017/04/20,Holkar Cricket Stadium,Indore,Mumbai Indians,field,Mumbai Indians,,Punjab Kings,Mumbai Indians,JC Buttler,8,,,
1082613,2017,2017/04/21,Eden Gardens,Kolkata,Gujarat Lions,field,Gujarat Lions,,Kolkata Knight Riders,Gujarat Lions,SK Raina,4,,,
1082614,2017,2017/04/22,Wankhede Stadium,Mumbai,Delhi Capitals,field,Mumbai Indians,14,Mumbai Indians,Delhi Capitals,MJ McClenaghan,,,,
1082615,2017,2017/04/22,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,field,Rising Pune Supergiant,,Rising Pune Supergiant,Sunrisers Hyderabad,MS Dhoni,6,,,
1082616,2017,2017/04/23,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,field,Punjab Kings,26,Gujarat Lions,Punjab Kings,HM Amla,,,,
1082617,2017,2017/04/23,Eden Gardens,Kolkata,Royal Challengers Bengaluru,field,Kolkata Knight Riders,82,Kolkata Knight Riders,Royal Challengers Bengaluru,NM Coulter-Nile,,,,
